county,years,pop,,,,
,2009,"412,488",,,,
,2010,"413,220",,,,
Sonoma,1999,"453,470",,,,
,2000,"460,477",,,,
,2001,"465,423",,,,
,2002,"465,998",,,,
,2003,"468,257",,,,
,2004,"469,933",,,,
,2005,"469,524",,,,
,2006,"469,967",,,,
,2007,"472,987",,,,
,2008,"476,650",,,,
,2009,"480,598",,,,
,2010,"484,258",,,,
Stanislaus,1999,"440,908",,,,
,2000,"449,767",,,,
,2001,"463,128",,,,
,2002,"473,580",,,,
,2003,"483,007",,,,
,2004,"490,283",,,,
,2005,"498,020",,,,
,2006,"503,548",,,,
,2007,"508,372",,,,
,2008,"510,396",,,,
,2009,"512,052",,,,
,2010,"515,311",,,,
Sutter,1999,"78,034",,,,
,2000,"79,202",,,,
,2001,"80,240",,,,
,2002,"81,936",,,,
,2003,"84,108",,,,
,2004,"86,092",,,,
,2005,"88,106",,,,
,2006,"90,628",,,,
,2007,"92,502",,,,
,2008,"93,465",,,,
,2009,"94,372",,,,
,2010,"94,800",,,,
Tehama,1999,"55,547",,,,
,2000,"55,832",,,,
,2001,"56,465",,,,
,2002,"57,281",,,,
,2003,"58,415",,,,
,2004,"59,493",,,,
,2005,"60,461",,,,
,2006,"61,542",,,,
,2007,"62,011",,,,
,2008,"62,720",,,,
,2009,"63,122",,,,
,2010,"63,635",,,,
Trinity,1999,"13,048",,,,
,2000,"12,958",,,,
,2001,"12,963",,,,
,2002,"13,159",,,,
,2003,"13,388",,,,
,2004,"13,519",,,,
,2005,"13,789",,,,
,2006,"13,823",,,,
,2007,"13,787",,,,
,2008,"13,730",,,,
,2009,"13,771",,,,
,2010,"13,883",,,,
Tulare,1999,"364,256",,,,
,2000,"368,805",,,,
,2001,"374,152",,,,
,2002,"381,194",,,,
,2003,"390,370",,,,
,2004,"399,913",,,,
,2005,"408,403",,,,
,2006,"416,092",,,,
,2007,"423,608",,,,
,2008,"431,471",,,,
,2009,"438,408",,,,
,2010,"443,638",,,,
Tuolumne,1999,"54,115",,,,
,2000,"54,587",,,,
,2001,"55,326",,,,
,2002,"55,910",,,,
,2003,"56,442",,,,
,2004,"56,369",,,,
,2005,"56,452",,,,
,2006,"56,558",,,,
,2007,"56,133",,,,
,2008,"56,060",,,,
,2009,"55,258",,,,
,2010,"54,961",,,,
Ventura,1999,"742,825",,,,
,2000,"756,902",,,,
,2001,"768,991",,,,
,2002,"779,894",,,,
,2003,"789,367",,,,
,2004,"795,046",,,,
,2005,"796,867",,,,
,2006,"801,225",,,,
,2007,"805,911",,,,
,2008,"812,028",,,,
,2009,"818,546",,,,
,2010,"825,378",,,,
Yolo,1999,"165,332",,,,
,2000,"169,818",,,,
,2001,"175,102",,,,
,2002,"179,271",,,,
,2003,"182,331",,,,
,2004,"185,707",,,,
,2005,"187,354",,,,
,2006,"190,809",,,,
,2007,"194,854",,,,
,2008,"197,589",,,,
,2009,"199,697",,,,
,2010,"200,995",,,,
Yuba,1999,"60,223",,,,
,2000,"60,334",,,,
,2001,"61,426",,,,
,2002,"62,738",,,,
,2003,"63,962",,,,
,2004,"65,249",,,,
,2005,"67,712",,,,
,2006,"69,218",,,,
,2007,"70,221",,,,
,2008,"71,422",,,,
,2009,"71,796",,,,
,2010,"72,336",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
