county,years,gang_killings,guns_involved,murders,passion_murder,solved,youth_murder,pop,unsolved_percentage,murder_per_100_thousand,percentage_gang_killings,percentage_passion,percentage_other,year_code,county_code,percentage_solved
Glenn,1980,0,1,2,1,2,0,21500,0.0,9.302325581,0.0,50.0,50.0,1,22,100.0
Sierra,1980,0,0,0,0,0,0,3100,0.0,0.0,0.0,0.0,0.0,1,23,
Lake,1980,0,3,3,1,2,0,36800,33.33333333,8.152173913,0.0,33.33333333,66.66666667,1,24,66.66666666666666
Lassen,1980,0,0,1,0,1,1,21800,0.0,4.587155963,0.0,0.0,100.0,1,25,100.0
Mariposa,1980,0,0,1,0,1,0,11200,0.0,8.928571429,0.0,0.0,100.0,1,26,100.0
Solano,1980,0,11,17,4,11,4,237200,35.29411765,7.166947723,0.0,23.52941176,76.47058824,1,27,64.70588235294117
Orange,1980,4,59,119,25,72,40,1944800,39.49579832,6.118881119,3.361344538,21.00840336,75.63025209999998,1,28,60.504201680672274
Imperial,1980,0,7,18,4,13,6,92500,27.77777778,19.45945946,0.0,22.22222222,77.77777778,1,29,72.2222222222222
Contra Costa,1980,0,38,52,8,33,15,658500,36.53846154,7.896735004,0.0,15.38461538,84.61538462,1,30,63.46153846153846
Calaveras,1980,0,0,0,0,0,0,20900,0.0,0.0,0.0,0.0,0.0,1,31,
Marin,1980,0,12,16,5,8,7,222700,50.0,7.184553211,0.0,31.25,68.75,1,32,50.0
Santa Cruz,1980,2,6,11,5,11,6,189100,0.0,5.817028027,18.18181818,45.45454545,36.36363636,1,33,100.0
Inyo,1980,0,2,3,0,3,1,17900,0.0,16.75977654,0.0,0.0,100.0,1,34,100.0
Fresno,1980,1,69,111,7,78,39,517400,29.72972973,21.45342095,0.900900901,6.3063063060000015,92.79279279,1,35,70.27027027027027
San Diego,1980,10,81,174,29,107,55,1873300,38.50574713,9.288421502,5.747126437,16.66666667,77.58620690000002,1,36,61.49425287356321
Madera,1980,0,7,12,1,9,5,63900,25.0,18.77934272,0.0,8.333333332999999,91.66666667,1,37,75.0
Trinity,1980,0,0,0,0,0,0,12000,0.0,0.0,0.0,0.0,0.0,1,38,
Mendocino,1980,0,4,8,4,5,4,67000,37.5,11.94029851,0.0,50.0,50.0,1,39,62.5
Napa,1980,0,2,6,0,4,1,99300,33.33333333,6.042296072999999,0.0,0.0,100.0,1,40,66.66666666666666
Del Norte,1980,0,1,3,0,3,1,18300,0.0,16.39344262,0.0,0.0,100.0,1,41,100.0
Tulare,1980,0,27,34,4,24,13,247400,29.41176471,13.74292643,0.0,11.76470588,88.23529412,1,42,70.58823529411767
Ventura,1980,1,22,40,6,26,13,532200,35.0,7.5159714389999985,2.5,15.0,82.5,1,43,65.0
Alpine,1980,0,1,1,0,1,0,1100,0.0,90.90909091,0.0,0.0,100.0,1,44,100.0
Yolo,1980,0,4,10,4,6,2,113900,40.0,8.779631255,0.0,40.0,60.0,1,45,60.0
Alameda,1980,1,107,185,23,124,49,1109500,32.97297297,16.67417756,0.540540541,12.43243243,87.02702703,1,46,67.02702702702703
Yuba,1980,0,5,7,2,7,1,49800,0.0,14.056224900000002,0.0,28.57142857,71.42857143,1,47,100.0
Tuolumne,1980,0,1,2,1,2,0,34200,0.0,5.8479532160000005,0.0,50.0,50.0,1,48,100.0
Tehama,1980,0,1,5,4,5,2,39100,0.0,12.78772379,0.0,80.0,20.0,1,49,100.0
Merced,1980,1,4,10,2,8,5,135500,20.0,7.380073801,10.0,20.0,70.0,1,50,80.0
Santa Barbara,1980,0,11,19,0,12,9,300000,36.84210526,6.333333333,0.0,0.0,100.0,1,51,63.157894736842096
San Francisco,1980,2,63,125,11,73,22,680500,41.6,18.36884644,1.6,8.8,89.6,1,52,58.4
San Bernardino,1980,3,98,151,29,102,47,902200,32.45033113,16.73686544,1.986754967,19.20529801,78.80794702,1,53,67.54966887417218
Amador,1980,0,0,0,0,0,0,19500,0.0,0.0,0.0,0.0,0.0,1,54,
Humboldt,1980,0,10,11,5,10,2,108900,9.090909091,10.1010101,0.0,45.45454545,54.54545455,1,55,90.9090909090909
Los Angeles,1980,102,1191,1813,205,1095,658,7500300,39.60286817,24.17236644,5.626034197,11.30722559,83.06674021,1,56,60.397131825703255
Kern,1980,1,55,89,12,55,26,406100,38.20224719,21.91578429,1.123595506,13.48314607,85.39325843,1,57,61.79775280898876
Santa Clara,1980,2,56,105,24,79,34,1300200,24.76190476,8.075680665,1.904761905,22.85714286,75.23809524,1,58,75.23809523809524
Placer,1981,0,4,8,2,8,3,123000,0.0,6.5040650410000005,0.0,25.0,75.0,2,1,100.0
Modoc,1981,0,0,0,0,0,0,9000,0.0,0.0,0.0,0.0,0.0,2,2,
Sutter,1981,0,5,7,2,7,2,53900,0.0,12.98701299,0.0,28.57142857,71.42857143,2,3,100.0
Colusa,1981,0,1,1,1,1,0,13200,0.0,7.575757576,0.0,100.0,0.0,2,4,100.0
San Mateo,1981,2,19,28,14,25,8,591000,10.71428571,4.737732657,7.142857143,50.0,42.85714286,2,5,89.2857142857143
Monterey,1981,0,10,26,7,18,6,299900,30.76923077,8.669556519,0.0,26.92307692,73.07692308,2,6,69.23076923076923
Nevada,1981,0,2,6,1,5,1,56000,16.66666667,10.71428571,0.0,16.66666667,83.33333333,2,7,83.33333333333334
Mono,1981,0,0,0,0,0,0,8900,0.0,0.0,0.0,0.0,0.0,2,8,
San Joaquin,1981,3,25,61,18,54,23,362000,11.47540984,16.85082873,4.918032787,29.50819672,65.57377049,2,9,88.52459016393442
Riverside,1981,5,51,78,22,66,19,696700,15.38461538,11.19563657,6.41025641,28.20512821,65.38461538,2,10,84.61538461538461
Sacramento,1981,1,44,82,24,67,25,806700,18.29268293,10.16486922,1.219512195,29.26829268,69.51219512,2,11,81.70731707317074
San Luis Obispo,1981,0,1,5,2,5,0,161800,0.0,3.090234858,0.0,40.0,60.0,2,12,100.0
Siskiyou,1981,0,1,1,1,1,0,40700,0.0,2.457002457,0.0,100.0,0.0,2,13,100.0
Plumas,1981,0,1,4,0,1,2,17800,75.0,22.47191011,0.0,0.0,100.0,2,14,25.0
San Benito,1981,0,1,1,1,1,1,25800,0.0,3.875968992,0.0,100.0,0.0,2,15,100.0
El Dorado,1981,0,5,7,0,5,2,89300,28.57142857,7.838745801,0.0,0.0,100.0,2,16,71.42857142857143
Butte,1981,0,2,4,0,4,1,148800,0.0,2.688172043,0.0,0.0,100.0,2,17,100.0
Shasta,1981,0,10,11,2,8,2,120500,27.27272727,9.128630705,0.0,18.18181818,81.81818182,2,18,72.72727272727273
Stanislaus,1981,0,17,22,7,20,8,275500,9.090909091,7.985480944,0.0,31.81818182,68.18181818,2,19,90.9090909090909
Kings,1981,0,2,6,1,5,3,75800,16.66666667,7.915567282,0.0,16.66666667,83.33333333,2,20,83.33333333333334
Sonoma,1981,0,12,20,8,17,6,308700,15.0,6.478781989,0.0,40.0,60.0,2,21,85.0
Glenn,1981,0,0,0,0,0,0,22000,0.0,0.0,0.0,0.0,0.0,2,22,
Sierra,1981,0,1,1,0,1,0,3100,0.0,32.25806452,0.0,0.0,100.0,2,23,100.0
Lake,1981,0,2,4,1,4,1,38600,0.0,10.3626943,0.0,25.0,75.0,2,24,100.0
Lassen,1981,0,1,1,0,1,1,22600,0.0,4.424778761000001,0.0,0.0,100.0,2,25,100.0
Mariposa,1981,0,1,1,0,1,0,11500,0.0,8.695652174,0.0,0.0,100.0,2,26,100.0
Solano,1981,0,9,11,5,11,3,246100,0.0,4.469727753,0.0,45.45454545,54.54545455,2,27,100.0
Orange,1981,8,50,96,28,79,45,2003900,17.70833333,4.790658216000001,8.333333332999999,29.16666667,62.5,2,28,82.29166666666666
Imperial,1981,0,9,11,3,8,1,94100,27.27272727,11.68969182,0.0,27.27272727,72.72727273,2,29,72.72727272727273
Contra Costa,1981,2,39,57,15,50,12,667200,12.28070175,8.543165468,3.50877193,26.31578947,70.17543859999999,2,30,87.71929824561403
Calaveras,1981,0,1,2,0,2,0,21700,0.0,9.216589862000001,0.0,0.0,100.0,2,31,100.0
Marin,1981,0,6,8,3,6,0,223400,25.0,3.581020591,0.0,37.5,62.5,2,32,75.0
Santa Cruz,1981,0,9,14,5,13,5,193000,7.142857143,7.25388601,0.0,35.71428571,64.28571429,2,33,92.85714285714286
Inyo,1981,0,0,2,1,2,2,17900,0.0,11.17318436,0.0,50.0,50.0,2,34,100.0
Fresno,1981,0,40,68,10,51,19,529000,25.0,12.85444234,0.0,14.70588235,85.29411765,2,35,75.0
San Diego,1981,7,77,143,30,118,46,1921800,17.48251748,7.440940785,4.895104895,20.97902098,74.12587413,2,36,82.51748251748252
Madera,1981,0,4,6,2,6,1,67100,0.0,8.941877794,0.0,33.33333333,66.66666667,2,37,100.0
Trinity,1981,0,1,1,1,1,0,12300,0.0,8.130081301,0.0,100.0,0.0,2,38,100.0
Mendocino,1981,0,2,4,1,2,1,68500,50.0,5.839416057999999,0.0,25.0,75.0,2,39,50.0
